POLICY_NO,CUST_ID,POLICYTYPE,POL_ISSUE_DATE,POL_EFF_DATE,POL_EXPIRY_DATE,MAKE,MODEL,MODEL_YEAR,CHASSIS_NO,USE_OF_VEHICLE,PRODUCT,SUM_INSURED,PREMIUM,DEDUCTABLE
102122649,9990.0,COMP,2018-09-16,2018-09-16,2019-10-15,RENAULT,MEGANE,2015.0,VF1BZBCT7FR517802,PRIVATE,STANDARD,32000.0,1460.0,1000
102123206,8825.0,COMP,2018-10-02,2018-10-02,2019-11-01,PEUGEOT,BOXER,2017.0,VF3YCZMF8H2D49283,COMMERCIAL,STANDARD,107200.0,3654.0,1000
102123347,243.0,COMP,2018-10-08,2018-11-12,2019-12-11,TOYOTA,HIACE ,2017.0,JTFPX22P2H0077536,COMMERCIAL,STANDARD,71200.0,2552.0,500
102123550,4500.0,COMP,2018-10-14,2018-11-28,2019-12-27,NISSAN,TIIDA,2011.0,3N1BC1C63BK196312,PRIVATE,STANDARD,9000.0,1460.0,500
102128327,9244.0,COMP,2019-03-05,2019-04-19,2020-05-18,NISSAN,SUNNY,2015.0,MDHBN7AD3FG801977,PRIVATE,STANDARD,17520.0,1190.0,2000
102128941,903.0,COMP,2019-03-20,2019-03-21,2020-04-20,AUDI,Q 7,2013.0,WA1AGDFE9DD010044,PRIVATE,M 2.5,81752.0,2295.0,500
102128971,5172.0,COMP,2019-03-21,2019-03-25,2020-04-24,HONDA,CIVIC,2008.0,JHMFD16288S419306,PRIVATE,NOT CLASSIFIED,8000.0,1190.0,2000
102130296,7848.0,COMP,2019-05-05,2019-05-05,2020-06-04,PEUGEOT,3008 GT,2019.0,VF3M45GY7KS013484,PRIVATE,M 2.5,118000.0,3001.0,500
102130827,12714.0,COMP,2019-05-26,2019-05-26,2020-06-25,MG,ZS,2019.0,LSJW74U6XKZ012004,PRIVATE,M 2.5,54650.0,1940.0,500
102131025,7957.0,COMP,2019-05-29,2019-05-29,2020-06-28,NISSAN,ALTIMA,2016.0,1N4AL3A9XGC104939,PRIVATE,M 2019,35926.0,1210.0,1000
102132395,5173.0,COMP,2019-07-08,2019-07-09,2020-08-08,NISSAN,PATROL,2017.0,JN8FY1NY1HX024709,PRIVATE,M 2019,100000.0,1965.0,1000
102134870,7957.0,COMP,2019-09-02,2019-09-02,2020-10-01,TOYOTA,LAND CRUISER,2013.0,JTMHU09JXD4078237,PRIVATE,M 2019,105000.0,1855.0,2000
102135551,13444.0,COMP,2019-09-19,2019-09-19,2020-10-18,HONDA,CR-V,2017.0,5J6RW5823HL700382.,PRIVATE,M 2019,80000.0,1990.0,2000
102136395,7957.0,COMP,2019-10-13,2019-10-16,2020-11-15,LEXUS,RX 350 STATION,2015.0,JTJBK11A8F2470934,PRIVATE,M 2019,76343.0,1765.43,2000
102136623,7957.0,COMP,2019-10-17,2019-10-17,2020-11-16,HAVAL,H2,2020.0,LGWEE4A4XLH900417,PRIVATE,M 2019,71880.0,1990.0,2000
102137589,4281.0,COMP,2019-11-12,2019-11-14,2020-12-13,MITSUBISHI,GALLANT,2009.0,4P3SRDJ1A9E803374,PRIVATE,NOT CLASSIFIED,12000.0,1159.0,2000
102137794,7957.0,COMP,2019-11-18,2019-11-18,2020-12-17,BMW,640 I SALOON,2015.0,WBA6A0107FD590928,PRIVATE,M 2019,100000.0,1765.0,500
102138226,7957.0,COMP,2019-11-27,2019-11-27,2020-12-26,TOYOTA,PRADO,2019.0,JTEBX9FJ6KK303666,PRIVATE,M 2019,126000.0,2510.0,500
102139321,5954.0,COMP,2019-12-29,2020-02-26,2021-03-25,MAZDA,6,2014.0,JM7GJ4S34E1125083,PRIVATE,M 2.5,41760.0,1095.0,500
102139386,3202.0,COMP,2019-12-30,2019-12-30,2021-01-29,NISSAN,ALTIMA,2011.0,1N4AL2A9XBC129133,PRIVATE,M 2019,14400.0,1160.0,1000
102139444,11795.0,COMP,2019-12-31,2020-01-01,2021-01-31,LAMBORGHINI,HURACAN,2015.0,ZHWEC1ZF9FLA00963,PRIVATE,M 2.25,355819.0,9308.0,500
102142144,5173.0,COMP,2020-03-03,2020-03-04,2021-04-03,HYUNDAI,ACCENT,2019.0,MALC741C9KM088905,PRIVATE,M 2019,53000.0,1610.0,2000
102142451,7957.0,COMP,2020-03-10,2020-03-10,2021-04-09,MERCEDES,C200,2018.0,WDDWF4CB3JR336838,PRIVATE,M 2019,128350.0,2172.0,2000
102144185,10940.0,COMP,2020-04-27,2020-05-08,2021-06-07,TOYOTA,FORTUNER,2017.0,MHFDX8FS4H0081699,PRIVATE,M 2.5,59200.0,1705.0,500
102144604,1249.0,COMP,2020-05-07,2020-05-25,2021-06-24,HONDA,ACCORD,2015.0,LUCCR2623F3404775,PRIVATE,M 2.25,30400.0,1030.0,1000
102145845,7957.0,COMP,2020-06-08,2020-06-09,2021-07-08,MINI,COOPER S JCW,2016.0,WMWXM910XG2C78103,PRIVATE,M 2019,53913.0,1945.0,500
